상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
더예쁜네일,이용·미용,전북특별자치도,익산시,모현동,126.943992565342,35.9503589256293
정읍원예농협로컬/하나로마트학산로점,종합 소매,전북특별자치도,정읍시,내장상동,126.875913303417,35.5595352281174
에디션,섬유·의복·신발 소매,전북특별자치도,전주시 완산구,서신동,127.121834922235,35.8344635683688
금타공인중개사사무소,부동산 서비스,전북특별자치도,전주시 완산구,중화산2동,127.121352084035,35.822648552293
서해지업사,철물·건설자재 소매,전북특별자치도,군산시,소룡동,126.680928147828,35.977255307652
동산주유소,연료 소매,전북특별자치도,익산시,인화동,126.950013602968,35.9289029940102
네오다다만성점,오락용품 소매,전북특별자치도,전주시 덕진구,여의동,127.074584872431,35.8447945415953
멋쟁이구제의류,섬유·의복·신발 소매,전북특별자치도,익산시,황등면,126.944443091782,36.0034149648829
위너스,스포츠 서비스,전북특별자치도,전주시 덕진구,우아1동,127.16369292116,35.8503390458192
윤건축사사무소,기술 서비스,전북특별자치도,전주시 완산구,효자5동,127.103311161953,35.820331148257
태공산장,한식,전북특별자치도,전주시 덕진구,우아2동,127.17475186529,35.8200412283153
김소이공인중개사사무소,부동산 서비스,전북특별자치도,군산시,수송동,126.713462289694,35.958069004098
부강헤어,이용·미용,전북특별자치도,전주시 완산구,효자2동,127.117449930004,35.8104854080623
에이벳,전문 디자인,전북특별자치도,익산시,모현동,126.946631367664,35.9491524647137
마포떡방앗간,기타 간이,전북특별자치도,부안군,변산면,126.502658543868,35.6457724114534
무풍승지샹그릴라,한식,전북특별자치도,무주군,무풍면,127.839128304932,35.9609838772837
두메떡방앗간,기타 간이,전북특별자치도,김제시,요촌동,126.884243135051,35.8027271819538
은하수식당,한식,전북특별자치도,남원시,죽항동,127.385790581123,35.4068416374079
예뻐요그머리,이용·미용,전북특별자치도,완주군,이서면,127.022698242454,35.8276916343037
씨유아중지구점,종합 소매,전북특별자치도,전주시 덕진구,우아2동,127.169045655492,35.8374707113507
시티탁구클럽,스포츠 서비스,전북특별자치도,군산시,조촌동,126.726758980298,35.9724927492374
찬희네홍어,한식,전북특별자치도,군산시,중앙동,126.720518382385,35.9846720679444
미소House,기타 간이,전북특별자치도,익산시,모현동,126.935870665738,35.9470563176933
올리브그린,서양식,전북특별자치도,전주시 완산구,중화산2동,127.12052151132,35.8149255862691
스튜디오본,사진 촬영,전북특별자치도,군산시,옥산면,126.747969828636,35.9476560183627
꽃순부띠끄,섬유·의복·신발 소매,전북특별자치도,고창군,고창읍,126.695612079809,35.4326715947881
아르떼,가구 소매,전북특별자치도,전주시 완산구,효자3동,127.114477503091,35.8055133085773
경사주단,섬유·의복·신발 소매,전북특별자치도,익산시,인화동,126.951241247481,35.9327247738341
더불어식당,한식,전북특별자치도,익산시,함열읍,126.957489421281,36.0807365937953
미주가맛있는술집,주점,전북특별자치도,전주시 덕진구,인후1동,127.15437609509,35.8353454577211
두찜익산,한식,전북특별자치도,익산시,신동,126.961544487816,35.9609373822988
변호사박주원법률사무소,법무관련 ,전북특별자치도,전주시 덕진구,여의동,127.076564160211,35.8425942296525
